,bodyId_1,bodyId_2,minimum_distance_threshold
0,543702186,791527493,10.0
1,543702186,1283406432,3.0
2,543702186,1563929167,2.0
3,543702186,1594117455,5.0
4,543702186,1749628974,5.0
5,543702186,2130504694,30.0
6,543702186,2161872840,40.0
7,543702186,2254640190,20.0
8,543702186,2254977811,4.0
9,543702186,5812981763,3.0
10,543702186,5813011683,2.0
11,543702186,5813021217,10.0
12,543702186,5813031974,10.0
13,543702186,5813040744,2.0
14,543702186,5813058431,4.0
15,543702186,5813069193,3.0
16,543702186,7112616299,25.0
17,632570417,791527493,2.0
18,632570417,1604440343,2.0
19,632570417,1806665030,3.0
20,632570417,1837695505,3.0
21,632570417,1880852337,3.0
22,632570417,1911888093,2.0
23,632570417,1942926428,10.0
24,632570417,1943604763,15.0
25,632570417,1962828235,2.0
26,632570417,1973961515,3.0
27,632570417,1974302706,3.0
28,632570417,2004996658,4.0
29,632570417,2036031975,10.0
30,632570417,2036369285,3.0
31,632570417,2067062727,5.0
32,632570417,2067744572,10.0
33,632570417,2160849555,15.0
34,632570417,2191893077,5.0
35,632570417,2253625938,40.0
36,632570417,2253958254,2.0
37,632570417,2253958796,10.0
38,632570417,2284311631,10.0
39,632570417,5812981763,10.0
40,632570417,5812998573,2.0
41,632570417,5813045602,3.0
42,632570417,5813058431,3.0
43,632570417,7112616299,3.0
44,695124651,1158631810,4.0
45,695124651,1190344036,3.0
46,695124651,1283406432,3.0
47,695124651,1345164753,3.0
48,695124651,1346814892,0.58
49,695124651,1418618235,15.0
50,695124651,1563929167,0.87
51,695124651,1594117455,2.0
52,695124651,1749628974,4.0
53,695124651,1820147186,0.0
54,695124651,1914274869,5.0
55,695124651,1943945839,2.0
56,695124651,2038082105,10.0
57,695124651,2070476743,5.0
58,695124651,2223601455,10.0
59,695124651,2223955898,2.0
60,695124651,2224288058,10.0
61,695124651,2349122086,4.0
62,695124651,5812981514,4.0
63,695124651,5812981763,4.0
64,695124651,5813004594,3.0
65,695124651,5813011683,2.0
66,695124651,5813020750,2.0
67,695124651,5813021196,2.0
68,695124651,5813021217,0.94
69,695124651,5813022274,3.0
70,695124651,5813022753,2.0
71,695124651,5813024125,0.12
72,695124651,5813027248,2.0
73,695124651,5813040744,0.65
74,695124651,5813054835,5.0
75,695124651,5813057319,3.0
76,695124651,5813058431,2.0
77,695124651,5813062922,2.0
78,695124651,5813069193,4.0
79,695124651,5813069255,3.0
80,695124651,5813070050,3.0
81,730709173,1561646261,15.0
82,730709173,1693284320,15.0
83,730709173,1806665030,15.0
84,730709173,2005001716,10.0
85,730709173,2098447409,3.0
86,730709173,2100484043,5.0
87,730709173,2347068110,20.0
88,730709173,5812981763,5.0
89,730709173,5813005476,5.0
90,730709173,5813070050,4.0
91,791527493,1129033939,2.0
92,791527493,1159262075,10.0
93,791527493,1190926889,2.0
94,791527493,1288301181,2.0
95,791527493,1476868405,3.0
96,791527493,1563929167,3.0
97,791527493,1604440343,3.0
98,791527493,1715006401,0.64
99,791527493,1747302427,3.0
100,791527493,1812984874,3.0
101,791527493,1868415718,10.0
102,791527493,1875810763,10.0
103,791527493,1911888093,5.0
104,791527493,1913252043,25.0
105,791527493,1961511183,3.0
106,791527493,1962828235,0.49
107,791527493,2005001077,15.0
108,791527493,2005001716,3.0
109,791527493,2057219937,15.0
110,791527493,2067407506,2.0
111,791527493,2121382970,10.0
112,791527493,2130504694,4.0
113,791527493,2191893077,10.0
114,791527493,2225647640,10.0
115,791527493,5812979970,15.0
116,791527493,5812981763,5.0
117,791527493,5812990478,4.0
118,791527493,5812997016,4.0
119,791527493,5812998588,10.0
120,791527493,5813034093,10.0
121,791527493,5813045602,2.0
122,791527493,5813046229,10.0
123,791527493,5813046248,15.0
124,791527493,5813056759,3.0
125,791527493,5813069255,3.0
126,791527493,5813070050,2.0
127,791527493,5901211311,10.0
128,791527493,7112616299,2.0
129,974843875,1158631810,2.0
130,974843875,1159262075,3.0
131,974843875,1190344036,3.0
132,974843875,1252409535,2.0
133,974843875,1283406432,5.0
134,974843875,1345164753,2.0
135,974843875,1376540712,3.0
136,974843875,1563929167,3.0
137,974843875,1881876149,10.0
138,974843875,1882216995,15.0
139,974843875,1882217463,30.0
140,974843875,1943950268,2.0
141,974843875,2037049976,10.0
142,974843875,2098455028,3.0
143,974843875,2099811576,5.0
144,974843875,2161540655,2.0
145,974843875,2223260140,10.0
146,974843875,2223942629,5.0
147,974843875,5812981763,5.0
148,974843875,5813000706,5.0
149,974843875,5813011683,2.0
150,974843875,5813016761,5.0
151,974843875,5813020750,4.0
152,974843875,5813021196,4.0
153,974843875,5813022274,3.0
154,974843875,5813062922,2.0
155,974843875,5813069193,0.84
156,974843875,5813069255,4.0
157,1129033939,1288301181,10.0
158,1129033939,1346814892,3.0
159,1129033939,1409959713,10.0
160,1129033939,1604440343,3.0
161,1129033939,1693960938,10.0
162,1129033939,1747302427,20.0
163,1129033939,1875810763,2.0
164,1129033939,1962828235,10.0
165,1129033939,5813002670,3.0
166,1129033939,7112616299,5.0
167,1158528396,1190926889,4.0
168,1158528396,1287441936,3.0
169,1158528396,1381565604,25.0
170,1158528396,1435136061,2.0
171,1158528396,1474671218,0.97
172,1158528396,1600515416,15.0
173,1158528396,1622377349,2.0
174,1158528396,1755357454,3.0
175,1158528396,1787071089,15.0
176,1158528396,1817418860,15.0
177,1158528396,1817760382,10.0
178,1158528396,1817764483,10.0
179,1158528396,1910870010,10.0
180,1158528396,1942244524,15.0
181,1158528396,2004996658,2.0
182,1158528396,2005001716,4.0
183,1158528396,5812997468,4.0
184,1158631810,1159262075,2.0
185,1158631810,1190344036,2.0
186,1158631810,1252409535,4.0
187,1158631810,1345164753,5.0
188,1158631810,1346814892,5.0
189,1158631810,1376540712,3.0
190,1158631810,1749628974,2.0
191,1158631810,1943950268,3.0
192,1158631810,2037400154,3.0
193,1158631810,2098455028,10.0
194,1158631810,5813011683,10.0
195,1158631810,5813024789,25.0
196,1158631810,5813058431,10.0
197,1158631810,5813062922,2.0
198,1158631810,5813069193,3.0
199,1158631810,5813069255,3.0
200,1158631810,5813097458,10.0
201,1159262075,1190344036,3.0
202,1159262075,1252409535,2.0
203,1159262075,1283406432,2.0
204,1159262075,1376540712,2.0
205,1159262075,1409959713,5.0
206,1159262075,1749628974,10.0
207,1159262075,1943950268,2.0
208,1159262075,1962828235,10.0
209,1159262075,2098455028,15.0
210,1159262075,2223955898,10.0
211,1159262075,5812981763,4.0
212,1159262075,5813011683,20.0
213,1159262075,5813069193,2.0
214,1190344036,1252409535,2.0
215,1190344036,1283406432,0.61
216,1190344036,1345164753,2.0
217,1190344036,1376540712,2.0
218,1190344036,1472676490,15.0
219,1190344036,1788089103,2.0
220,1190344036,1882217463,10.0
221,1190344036,1912569603,10.0
222,1190344036,1943950268,3.0
223,1190344036,2006357614,25.0
224,1190344036,2037396354,25.0
225,1190344036,2099807909,10.0
226,1190344036,2099811576,10.0
227,1190344036,2161540655,20.0
228,1190344036,2286016726,3.0
229,1190344036,2316705418,0.94
230,1190344036,2348091511,3.0
231,1190344036,5813000612,2.0
232,1190344036,5813011683,4.0
233,1190344036,5813021217,2.0
234,1190344036,5813034093,10.0
235,1190344036,5813058431,3.0
236,1190344036,5813062922,2.0
237,1190344036,5813069193,0.92
238,1190344036,5813069255,4.0
239,1190344036,5901118414,15.0
240,1190926889,1284027922,2.0
241,1190926889,1435136061,4.0
242,1190926889,1476868405,0.99
243,1190926889,1561646261,3.0
244,1190926889,2036035963,3.0
245,1190926889,2067403358,10.0
246,1190926889,2098102126,10.0
247,1190926889,2152413882,2.0
248,1190926889,2222918860,10.0
249,1190926889,5812997929,10.0
250,1252409535,1283406432,2.0
251,1252409535,1345164753,2.0
252,1252409535,1376540712,2.0
253,1252409535,1563929167,3.0
254,1252409535,1881875656,15.0
255,1252409535,1882217463,2.0
256,1252409535,1943950268,2.0
257,1252409535,1944287155,4.0
258,1252409535,1974980245,2.0
259,1252409535,2006356291,5.0
260,1252409535,2006357614,3.0
261,1252409535,2037391867,10.0
262,1252409535,2130504694,5.0
263,1252409535,2130837942,4.0
264,1252409535,2161540655,4.0
265,1252409535,2222931956,4.0
266,1252409535,2285670521,10.0
267,1252409535,2316709692,15.0
268,1252409535,5813000129,10.0
269,1252409535,5813000706,4.0
270,1252409535,5813011683,3.0
271,1252409535,5813020750,3.0
272,1252409535,5813034093,10.0
273,1252409535,5813040744,2.0
274,1252409535,5813058431,3.0
275,1252409535,5813062922,2.0
276,1252409535,5813069193,5.0
277,1283406432,1345164753,3.0
278,1283406432,1346814892,0.83
279,1283406432,1376540712,2.0
280,1283406432,1563929167,3.0
281,1283406432,1749628974,4.0
282,1283406432,1788089103,3.0
283,1283406432,1943604763,3.0
284,1283406432,1943945839,25.0
285,1283406432,1943950268,3.0
286,1283406432,2065745704,3.0
287,1283406432,2155478189,10.0
288,1283406432,2286016726,2.0
289,1283406432,5812981763,3.0
290,1283406432,5813011683,3.0
291,1283406432,5813020750,2.0
292,1283406432,5813021217,2.0
293,1283406432,5813022753,0.0
294,1283406432,5813024125,2.0
295,1283406432,5813024789,4.0
296,1283406432,5813040744,2.0
297,1283406432,5813054835,10.0
298,1283406432,5813058431,5.0
299,1283406432,5813062922,4.0
300,1283406432,5813069193,3.0
301,1283406432,5813069255,3.0
302,1283406432,5813069844,5.0
303,1283406432,5813097458,2.0
304,1283406432,5901225595,3.0
305,1284027922,1594087100,2.0
306,1284027922,2066060341,10.0
307,1284027922,5813003621,10.0
308,1287096894,1288801789,3.0
309,1287096894,1380883356,2.0
310,1287097265,1287097517,3.0
311,1287097265,1318473697,2.0
312,1287097517,1288801789,10.0
313,1287097517,1318473697,4.0
314,1287097517,1349848785,10.0
315,1287097517,1350535841,10.0
316,1287097517,1380883356,10.0
317,1287101295,1318473405,3.0
318,1287101295,1318473697,3.0
319,1287101295,1349508405,5.0
320,1287101295,1349848785,3.0
321,1287437846,1288801789,0.82
322,1287437846,1318813837,2.0
323,1287437846,1318814835,3.0
324,1287437846,1319496570,0.72
325,1287437846,1319837286,2.0
326,1287437846,1349848785,2.0
327,1287437846,1349849083,0.86
328,1287437846,1350190501,2.0
329,1287437846,1350530732,0.69
330,1287437846,1350531539,0.98
331,1287437846,1350872698,4.0
332,1287437846,1381565835,3.0
333,1287437846,1381566310,0.72
334,1287437846,1381566395,0.66
335,1287437846,1381566531,2.0
336,1287437846,1381566601,2.0
337,1287437846,1476868405,2.0
338,1287437846,1568798963,4.0
339,1287441936,1350535841,4.0
340,1287441936,1412605536,3.0
341,1287441936,1412942197,2.0
342,1287441936,1412946821,3.0
343,1287441936,1443294334,2.0
344,1287441936,1443636211,3.0
345,1287441936,1443977119,5.0
346,1287441936,1443977350,10.0
347,1287441936,1443981035,2.0
348,1287441936,1475011798,4.0
349,1287441936,1475012534,2.0
350,1287441936,1475016850,10.0
351,1287441936,1475353126,3.0
352,1287441936,1475357807,4.0
353,1287441936,1475694657,3.0
354,1287441936,1506729096,3.0
355,1287441936,1507073698,4.0
356,1287441936,1568798228,4.0
357,1287441936,1569139619,4.0
358,1287441936,1622377349,4.0
359,1287441936,1630868774,10.0
360,1287441936,1630869063,3.0
361,1287441936,1631214209,10.0
362,1287441936,1631550926,2.0
363,1287441936,1661903870,3.0
364,1287441936,1662586258,3.0
365,1287441936,1693279923,10.0
366,1287441936,1693284612,3.0
367,1287441936,1693620456,5.0
368,1287441936,1693621101,3.0
369,1287441936,1714113716,3.0
370,1287441936,1724315257,2.0
371,1287441936,1724655434,10.0
372,1287441936,1724660543,10.0
373,1287441936,1755348988,4.0
374,1287441936,1755354006,4.0
375,1287441936,5812991617,20.0
376,1287784113,1318818701,3.0
377,1287784113,1350531539,5.0
378,1287784113,1350531617,5.0
379,1287784113,1350535841,10.0
380,1287784113,1350872645,10.0
381,1287784113,1412945906,3.0
382,1288301181,1806665030,5.0
383,1288301181,1868415718,10.0
384,1288301181,1880852337,3.0
385,1288301181,1911887426,10.0
386,1288301181,1911887443,10.0
387,1288301181,1911888093,3.0
388,1288301181,1931132883,2.0
389,1288301181,1942581845,15.0
390,1288301181,1943604847,5.0
391,1288301181,1994532093,10.0
392,1288301181,2005001077,2.0
393,1288301181,2005001716,3.0
394,1288301181,2036369343,3.0
395,1288301181,2098111127,3.0
396,1288301181,2098779154,10.0
397,1288301181,2130504694,4.0
398,1288301181,2160849555,20.0
399,1288301181,2190537640,15.0
400,1288301181,2192575136,40.0
401,1288301181,2222931956,10.0
402,1288301181,2224287368,30.0
403,1288301181,2253613452,45.0
404,1288301181,2253958254,5.0
405,1288301181,2284311631,10.0
406,1288301181,2315700536,25.0
407,1288301181,2347059193,10.0
408,1288301181,2347412463,15.0
409,1288301181,2378107422,15.0
410,1288301181,2378114885,15.0
411,1288301181,5812979970,5.0
412,1288301181,5813002670,20.0
413,1288301181,5813006293,10.0
414,1288301181,5901216066,10.0
415,1288301181,7112616299,4.0
416,1288801789,1318473405,3.0
417,1288801789,1318818701,2.0
418,1288801789,1319155670,2.0
419,1288801789,1319496570,2.0
420,1288801789,1319837286,15.0
421,1288801789,1349166532,10.0
422,1288801789,1349508405,5.0
423,1288801789,1349848785,2.0
424,1288801789,1350190668,3.0
425,1288801789,1350530878,3.0
426,1288801789,1350531539,3.0
427,1288801789,1350531617,3.0
428,1288801789,1350872379,10.0
429,1288801789,1380883356,3.0
430,1288801789,1380883545,10.0
431,1288801789,1381224603,20.0
432,1288801789,1381224836,3.0
433,1288801789,1381224916,4.0
434,1288801789,1381566122,4.0
435,1288801789,1412941693,2.0
436,1288801789,1412945906,2.0
437,1288801789,1755354015,2.0
438,1318473405,1349508405,3.0
439,1318473405,1350535841,10.0
440,1318473405,1380883545,10.0
441,1318473405,1381226015,0.35
442,1318473405,1412942197,5.0
443,1318473405,1443636487,20.0
444,1318813837,1319496570,20.0
445,1318813837,1476868405,4.0
446,1318814835,1319496570,20.0
447,1318818701,1319495882,10.0
448,1318818701,1319496570,10.0
449,1318818701,1350190359,25.0
450,1318818701,1350871692,10.0
451,1318818701,1380883545,20.0
452,1318818701,1381224619,5.0
453,1318818701,1381566122,5.0
454,1318818701,1412941467,3.0
455,1318818701,1412941991,20.0
456,1318818701,1412942197,4.0
457,1318818701,1443295027,3.0
458,1318818701,1475015535,30.0
459,1318818701,1755354015,2.0
460,1319155670,1319495882,2.0
461,1319155670,1349849083,4.0
462,1319155670,1350190359,15.0
463,1319495882,1350190737,20.0
464,1319495882,1381224836,3.0
465,1319495882,1381224916,3.0
466,1319495882,1381565835,3.0
467,1319495882,1443977192,10.0
468,1319495882,1661904163,10.0
469,1319495882,1755354015,2.0
470,1319496570,1349848785,2.0
471,1319496570,1476868405,15.0
472,1319837286,1350535841,20.0
473,1319837286,1350872614,2.0
474,1319837286,1381224619,2.0
475,1319837286,1381224836,2.0
476,1319837286,1381565835,4.0
477,1319837286,1381565860,15.0
478,1319837286,1381566122,4.0
479,1319837286,1381566531,4.0
480,1319837286,1381911742,0.5
481,1319837286,1412942197,2.0
482,1319837286,1443295027,4.0
483,1319837286,1443639836,4.0
484,1319837286,1443639952,2.0
485,1319837286,1475011798,4.0
486,1319837286,1475016850,10.0
487,1319837286,1475353126,3.0
488,1319837286,1475357807,10.0
489,1319837286,1537423105,4.0
490,1319837286,1537423163,3.0
491,1319837286,1537768939,5.0
492,1319837286,1568116383,10.0
493,1319837286,1568456966,10.0
494,1319837286,1568798963,2.0
495,1319837286,1569139270,3.0
496,1319837286,1599492839,4.0
497,1319837286,1600516689,15.0
498,1319837286,1630869063,5.0
499,1319837286,1661903798,5.0
500,1319837286,1755354015,4.0
501,1345164753,1376540712,2.0
502,1345164753,1594117455,2.0
503,1345164753,1749628974,4.0
504,1345164753,1788089103,3.0
505,1345164753,1806686675,10.0
506,1345164753,1913252228,5.0
507,1345164753,1943950268,2.0
508,1345164753,1944287303,15.0
509,1345164753,1944287573,3.0
510,1345164753,1944628369,25.0
511,1345164753,1974980495,4.0
512,1345164753,2006357614,10.0
513,1345164753,2006357729,10.0
514,1345164753,2036035963,10.0
515,1345164753,2067062178,10.0
516,1345164753,2068776445,2.0
517,1345164753,2099807260,0.52
518,1345164753,2192907866,10.0
519,1345164753,2223601455,10.0
520,1345164753,2223942355,30.0
521,1345164753,2223942629,0.84
522,1345164753,2224288058,10.0
523,1345164753,2255322971,3.0
524,1345164753,2282942585,20.0
525,1345164753,2285670521,5.0
526,1345164753,2286362092,5.0
527,1345164753,2286370162,10.0
528,1345164753,2316705418,5.0
529,1345164753,2316709692,15.0
530,1345164753,2317729290,2.0
531,1345164753,2348082437,10.0
532,1345164753,2348085847,3.0
533,1345164753,5813001233,15.0
534,1345164753,5813002145,10.0
535,1345164753,5813004540,2.0
536,1345164753,5813011683,3.0
537,1345164753,5813021217,2.0
538,1345164753,5813031973,3.0
539,1345164753,5813034093,5.0
540,1345164753,5813058431,10.0
541,1345164753,5813062922,2.0
542,1345164753,5813069193,3.0
543,1345164753,5813069255,5.0
544,1346814892,1563929167,4.0
545,1346814892,1594117455,0.77
546,1346814892,1749628974,2.0
547,1346814892,1850840945,20.0
548,1346814892,1943946027,15.0
549,1346814892,1944286762,10.0
550,1346814892,2068434744,3.0
551,1346814892,2223955898,10.0
552,1346814892,2224291302,10.0
553,1346814892,2254644094,5.0
554,1346814892,2255322987,3.0
555,1346814892,2286357727,10.0
556,1346814892,2316718432,15.0
557,1346814892,2317046660,25.0
558,1346814892,2348095614,3.0
559,1346814892,5813000706,5.0
560,1346814892,5813011683,0.2
561,1346814892,5813020750,0.66
562,1346814892,5813022274,2.0
563,1346814892,5813022753,0.76
564,1346814892,5813024125,2.0
565,1346814892,5813027248,3.0
566,1346814892,5813040744,0.46
567,1346814892,5813054835,10.0
568,1346814892,5813058431,2.0
569,1346814892,5813062922,2.0
570,1346814892,5813069193,0.91
571,1346814892,5813069844,5.0
572,1346814892,7112616299,4.0
573,1349166532,1350872379,4.0
574,1349166532,1381565835,10.0
575,1349166532,1568798963,10.0
576,1349166532,1661904163,3.0
577,1349508405,1349848785,2.0
578,1349848785,1380883356,15.0
579,1349848785,1476868405,10.0
580,1349849083,1349849529,2.0
581,1350190359,1350190737,10.0
582,1350190501,1350530732,3.0
583,1350190501,1381224619,15.0
584,1350190668,1381224603,4.0
585,1350190668,1381224836,20.0
586,1350190737,1381224603,5.0
587,1350190737,1381224836,10.0
588,1350530732,1350530878,3.0
589,1350530732,1350531617,5.0
590,1350530732,1381224916,3.0
591,1350530732,1568798963,0.78
592,1350530732,1755354015,3.0
593,1350530878,1350531617,2.0
594,1350530878,1381224916,20.0
595,1350531539,1350535841,10.0
596,1350531539,1350871692,10.0
597,1350531539,1350872379,3.0
598,1350531539,1381224619,3.0
599,1350531539,1381565835,2.0
600,1350531539,1381566122,2.0
601,1350531539,1412941467,4.0
602,1350531539,1412941693,0.95
603,1350531539,1412941991,15.0
604,1350531539,1412946821,5.0
605,1350531617,1350535841,3.0
606,1350531617,1381565604,15.0
607,1350535841,1350871692,0.97
608,1350535841,1350872614,2.0
609,1350535841,1350872645,4.0
610,1350535841,1380883356,30.0
611,1350535841,1381224836,2.0
612,1350535841,1381224916,4.0
613,1350535841,1381226015,15.0
614,1350535841,1381565835,10.0
615,1350535841,1381566122,4.0
